Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
CNN,2,ENTIRE,cSigp01MSE,-0.3,0.35,0,-0.04,0,0.05,0.14,8.02,0.21,0
CNN,2,TBR_2,cSigp01MSE,-0.17,0,0,0.15,0.02,-0.17,-0.83,-51.54,-0.58,-0.01
CNN,2,TBR_1,cSigp01MSE,0.11,0,0,-0.14,0.02,0.11,-0.61,-35.27,-0.69,-0.01
CNN,2,TIR,cSigp01MSE,-0.85,0.85,0,0,0,0,0.53,26.1,0.5,0
CNN,2,TAR_1,cSigp01MSE,0.79,-0.72,-0.02,-0.05,0,0.07,-0.58,-35.97,-0.49,0
CNN,2,TAR_2,cSigp01MSE,0.17,0.02,-0.01,-0.18,0,0.19,0.29,23.15,0.55,0
CNN,4,ENTIRE,cSigp01MSE,-0.55,0.81,-0.02,-0.27,0.01,0.26,0.17,14.06,0.28,0
CNN,4,TBR_2,cSigp01MSE,0.34,0,0,-0.56,0.22,0.34,-2.42,-261.44,-3.14,-0.07
CNN,4,TBR_1,cSigp01MSE,0.51,0,0,-0.89,0.38,0.51,-1.35,-135.39,-2.43,-0.04
CNN,4,TIR,cSigp01MSE,-2.09,2.09,-0.01,0,0,0,1.23,83,1.25,0.01
CNN,4,TAR_1,cSigp01MSE,3.52,-3.2,-0.06,-0.25,0,0.32,-1.68,-142.74,-1.96,-0.01
CNN,4,TAR_2,cSigp01MSE,-1.27,2.72,-0.02,-1.43,0,1.45,0.36,47.55,1.05,0.01
LSTM,2,ENTIRE,cSigp01MSE,-0.17,0.28,0,-0.11,0,0.11,0.25,12.79,0.22,0.01
LSTM,2,TBR_2,cSigp01MSE,1.5,0,0,-1.51,0,1.5,0.08,2.29,0.73,0.02
LSTM,2,TBR_1,cSigp01MSE,2.33,0,0,-2.33,-0.01,2.33,-0.73,-18.67,-0.45,-0.01
LSTM,2,TIR,cSigp01MSE,-0.41,0.4,-0.01,0,0,-0.01,0.28,10.43,0.25,0
LSTM,2,TAR_1,cSigp01MSE,0.23,-0.21,0,-0.02,0.01,0.02,-0.16,-9.57,-0.22,-0.01
LSTM,2,TAR_2,cSigp01MSE,-0.68,0.7,0,-0.04,0,0.02,0.98,82.77,1.16,0
LSTM,4,ENTIRE,cSigp01MSE,0.5,-0.1,-0.02,-0.38,0,0.4,0.13,10.13,-0.08,0
LSTM,4,TBR_2,cSigp01MSE,4.01,0,0,-4.05,0.04,4.01,-2.19,-170.34,-2.4,-0.05
LSTM,4,TBR_1,cSigp01MSE,4.61,0,0,-4.67,0.07,4.61,-2.09,-147.01,-2.67,-0.05
LSTM,4,TIR,cSigp01MSE,-0.08,0.09,-0.02,0,0,0.01,0.43,23.57,0.21,0
LSTM,4,TAR_1,cSigp01MSE,2.92,-2.69,-0.03,-0.22,0.01,0.23,-1.22,-104.08,-1.69,-0.01
